,listing_id,date,available,price
17616885,12460848,2018-08-24,f,
2874670,1333205,2018-05-15,t,$120.00
18873218,621290,2018-09-25,f,
4574516,9897072,2018-11-05,f,
13676173,2702205,2018-03-19,t,$250.00
2570398,1493057,2018-12-28,f,
1759771,1998698,2018-11-12,t,$200.00
14182973,9348320,2018-07-06,t,$75.00
10746898,22713883,2018-08-02,f,
17814980,618283,2019-01-06,f,
7406503,13396309,2018-05-22,f,
3916756,21777431,2018-05-06,f,
5336760,19323283,2018-08-22,f,
18368188,567739,2018-11-07,t,$50.00
7052339,13825406,2018-07-13,f,
17940256,16773225,2018-08-13,t,$79.00
9005114,4294942,2018-08-20,f,
4907953,14421947,2018-08-28,f,
4016137,19927887,2019-01-23,f,
587947,1073469,2018-05-14,f,
15556681,19027452,2019-02-18,f,
7847400,19426325,2018-06-14,f,
1802850,4542631,2018-08-29,f,
5028655,1660833,2019-01-16,t,$109.00
7008539,7354137,2018-07-19,f,
12586984,12890440,2018-04-16,t,$22.00
5226420,23620200,2018-03-21,f,
18043313,22871882,2019-03-07,t,$78.00
16797695,10448999,2018-12-10,t,$70.00
15186093,1740129,2018-06-07,f,
13003546,2822180,2018-12-27,f,
11313489,11342930,2018-04-27,f,
923355,13912256,2018-06-10,f,
7222982,6964677,2018-03-10,f,
14997781,15819596,2018-05-15,t,$54.00
5310142,16454893,2018-08-02,t,$96.00
4521002,17952359,2018-10-29,f,
7433628,14461544,2019-01-27,t,$50.00
16341204,7197809,2018-10-04,f,
430001,8497451,2018-12-09,t,$135.00
2722237,21279570,2018-11-01,f,
11974483,18593918,2018-10-23,f,
15269422,16051158,2018-12-10,f,
2620212,16850946,2018-04-15,f,
7428720,14195333,2018-07-07,t,$75.00
9629655,9007489,2019-02-18,f,
20256886,10151197,2018-10-18,f,
9957394,17195315,2018-04-27,t,$211.00
5686944,7954892,2018-07-06,f,
4819422,14829956,2018-04-13,f,
232355,19750500,2018-07-15,t,$354.00
18287133,12841071,2018-06-09,t,$113.00
11683267,14410369,2018-11-23,f,
10834469,6664594,2018-09-01,t,$105.00
8051927,18041371,2019-02-08,f,
17514565,16414434,2019-01-25,f,
11157091,13975030,2018-09-11,f,
19298694,23373804,2018-10-07,f,
20429122,4762904,2018-11-13,f,
11848097,18771381,2018-07-01,f,
20611557,6727435,2019-02-02,t,$80.00
9786557,19958300,2019-02-27,f,
5120635,17935154,2019-01-16,f,
13321527,22760332,2018-09-18,f,
8854139,7628257,2018-04-06,f,
11327210,19815647,2018-09-09,t,$656.00
15125315,2329791,2018-12-04,t,$125.00
6817380,23443899,2018-06-05,t,$309.00
140776,6781904,2018-04-26,f,
5953248,7193980,2018-11-08,f,
12570203,12184381,2018-04-09,f,
17730612,12528086,2019-02-28,f,
19401536,22022757,2018-04-14,f,
13795187,7721366,2019-02-25,f,
4431298,22933086,2018-08-22,t,$70.00
21238445,9248857,2019-02-05,t,$75.00
19647860,19062269,2018-06-05,f,
16065672,13456102,2018-08-22,f,
15004346,13393316,2019-01-05,f,
12745116,17045303,2018-11-23,f,
9474563,14532431,2018-06-23,f,
16959116,20378051,2018-09-24,f,
12861743,19729500,2019-01-12,f,
4906382,6344128,2018-09-28,f,
10428854,19917541,2018-10-17,f,
14154583,10517198,2018-07-01,t,$36.00
16088620,14938883,2018-09-08,f,
3527199,15625110,2018-08-10,f,
7171656,19939658,2018-10-17,f,
9227489,13724665,2018-05-22,f,
18050414,778646,2018-10-13,t,$86.00
12759362,18125091,2018-11-12,f,
5775837,1554770,2018-10-22,f,
3296365,7188560,2019-01-16,f,
8445461,11291233,2018-09-12,f,
12099726,6892944,2018-03-31,f,
126893,7720054,2018-07-11,f,
20699440,15909972,2018-12-09,f,
10528659,8143461,2018-07-15,t,$210.00
5060050,9019935,2018-09-21,f,
6527433,22375457,2018-07-28,t,$65.00
3347541,15545162,2018-08-11,f,
5050282,6268712,2018-08-02,f,
6514322,16211788,2018-08-09,f,
21849537,21242256,2018-06-07,f,
19169656,19276830,2018-05-04,f,
21772407,7437746,2018-08-02,f,
16376816,8825429,2018-03-10,t,$99.00
3058200,18662946,2018-12-21,f,
4560137,3652823,2018-06-29,f,
6671322,18698831,2019-03-06,f,
9977630,5402224,2018-03-16,f,
14452702,9224123,2018-09-20,t,$100.00
14323750,7335152,2018-11-15,f,
6609173,23252703,2018-11-09,f,
13152769,17782909,2018-03-13,f,
20587632,22608884,2018-09-15,f,
16113207,16343031,2018-11-14,t,$63.00
11785819,1308334,2018-12-05,f,
19067406,18365976,2018-09-06,f,
18426112,16282496,2018-08-24,f,
17549043,21404080,2019-03-04,f,
17865990,6918587,2018-04-06,f,
20174033,972474,2018-11-09,f,
5694728,15420931,2018-03-09,f,
18901261,7387033,2018-09-30,t,$55.00
18837338,3556019,2018-10-26,t,$75.00
986212,5843499,2018-03-24,f,
11481362,6844099,2019-02-04,f,
19695976,600105,2018-05-25,t,$499.00
7719937,1988694,2018-08-31,f,
4390742,5349812,2018-07-11,f,
3159274,3459966,2019-02-18,f,
15079459,18048694,2018-05-18,t,$95.00
7024358,6299078,2018-05-13,f,
19780976,12947886,2018-09-22,t,$75.00
16261366,2009509,2018-05-11,f,
20728249,22202791,2019-01-06,t,$106.00
8652805,13690654,2018-06-07,f,
3211876,23395560,2018-07-09,f,
16736380,5716336,2018-11-07,f,
11241273,3388237,2019-03-04,t,$250.00
2120332,6123976,2019-01-12,f,
